ID,CODE,NAME,DESCRIPTION_TEXT,SORT_ORDER,INACTIVE_FLAG,INACTIVE_DATE,CREATEDBY,CREATED,UPDATEDBY,UPDATED,DOD_FLAG
1,N/A,N/A,N/A,1,0,NULL,Initial Load,2011-02-21 00:00:00.0000000,Initial Load,2011-02-21 00:00:00.0000000,1
11,Operation Iraqi Freedom (OIF),Operation Iraqi Freedom (OIF),Operation Iraqi Freedom (OIF),1,0,NULL,Initial Load,2011-02-22 00:00:00.0000000,Initial Load,2011-02-22 00:00:00.0000000,1
12,Operation Enduring Freedom  (OEF),Operation Enduring Freedom  (OEF),Operation Enduring Freedom  (OEF),1,0,NULL,Initial Load,2011-02-22 00:00:00.0000000,Initial Load,2011-02-22 00:00:00.0000000,1
13,Other Location,Other Location,Other Location,1,0,NULL,Initial Load,2011-02-22 00:00:00.0000000,Initial Load,2011-02-22 00:00:00.0000000,1
14,Deployment Number 12345678901234567890123456789012,Deployment Number 1234567890123456789012345678901234567890123456789012345678901234567890,Deployment Number 1234567890123456789012345678901234567890123456789012345678901234567890,0,1,2012-01-19 12:24:23.8670000,DVEIVR_UpdateRefTables,2012-01-19 12:24:23.8670000,DVEIVR_UpdateRefTables,2012-01-19 12:24:23.8670000,1
15,OIF                                               ,OIF                                               ,OIF                                               ,0,1,2012-01-19 12:24:23.8670000,DVEIVR_UpdateRefTables,2012-01-19 12:24:23.8670000,DVEIVR_UpdateRefTables,2012-01-19 12:24:23.8670000,1
16,XX1XX1,XX1XX1,XX1XX1,0,1,2012-01-19 12:24:23.8670000,DVEIVR_UpdateRefTables,2012-01-19 12:24:23.8670000,DVEIVR_UpdateRefTables,2012-01-19 12:24:23.8670000,1
17,xx2xx2,xx2xx2,xx2xx2,0,1,2012-01-19 12:24:23.8670000,DVEIVR_UpdateRefTables,2012-01-19 12:24:23.8670000,DVEIVR_UpdateRefTables,2012-01-19 12:24:23.8670000,1
18,XX3XX3,XX3XX3,XX3XX3,0,1,2012-01-19 12:24:23.8670000,DVEIVR_UpdateRefTables,2012-01-19 12:24:23.8670000,DVEIVR_UpdateRefTables,2012-01-19 12:24:23.8670000,1
19,X123456,X123456,X123456,0,1,2012-10-31 03:09:33.6280000,DVEIVR_UpdateRefTables,2012-10-31 03:09:33.6280000,DVEIVR_UpdateRefTables,2012-10-31 03:09:33.6280000,1
20,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,0,1,2012-10-31 03:09:33.6280000,DVEIVR_UpdateRefTables,2012-10-31 03:09:33.6280000,DVEIVR_UpdateRefTables,2012-10-31 03:09:33.6280000,1
21,Not Tested,Not Tested,Not Tested,0,1,2013-09-11 05:52:41.0970000,Manual Insert,2013-09-11 05:52:41.0970000,Manual Insert,2013-09-11 05:52:41.0970000,1
22,Illegible,Illegible,Illegible,0,1,2013-09-11 05:52:41.2900000,Manual Insert,2013-09-11 05:52:41.2900000,Manual Insert,2013-09-11 05:52:41.2900000,1
23,Not In List,Not In List,Not In List,0,1,2013-09-11 05:52:41.3400000,Manual Insert,2013-09-11 05:52:41.3400000,Manual Insert,2013-09-11 05:52:41.3400000,1
24,mtfId99,mtfId99,mtfId99,0,1,2014-11-21 08:28:47.6400000,DVEIVR_UpdateRefTables,2014-11-21 08:28:47.6400000,DVEIVR_UpdateRefTables,2014-11-21 08:28:47.6400000,1
25,New Dawn,New Dawn,Operation New Dawn,1,0,NULL,hberhe,2014-12-29 04:47:53.1622786,hberhe,2014-12-29 04:47:53.1622786,1
26,GWOT,GWOT,Global War on Terrorism,1,0,NULL,hberhe,2014-12-29 04:47:53.3232947,hberhe,2014-12-29 04:47:53.3232947,1
27,Natural Disaster,Natural Disaster,Natural Disaster,1,0,NULL,hberhe,2014-12-29 04:47:53.4613085,hberhe,2014-12-29 04:47:53.4613085,1
